966,10
519,4
9,3
223,7
31,2
18,8
428,5
827,8
858,5
778,6
297,7
589,8
792,3
572,6
605,2
874,5
441,3
124,4
641,5
833,6
611,2
834,3
285,4
536,8
359,6
471,10
626,4
422,4
792,4
800,4
590,7
590,8
51,2
35,4
487,9
843,3
921,7
147,6
529,5
608,5
207,10
59,2
229,4
990,3
376,4
587,7
99,7
45,3
309,3
252,2
979,3
684,3
109,10
99,2
699,6
981,3
616,3
206,10
383,4
773,8
723,3
433,6
6,5
914,3
563,7
263,5
359,4
130,9
185,6
734,9
848,2
386,8
289,8
235,4
856,6
326,4
954,7
431,4
188,2
16,10
391,4
172,6
312,7
870,8
218,3
638,8
832,9
947,9
584,8
814,10
322,3
301,3
542,9
698,6
223,2
435,2
769,9
896,2
482,7
325,4
966,10
519,4
9,3
223,7
31,2
18,8
428,5
827,8
858,5
778,6
297,7
589,8
792,3
572,6
605,2
874,5
441,3
124,4
641,5
833,6
611,2
834,3
285,4
536,8
359,6
471,10
626,4
422,4
792,4
800,4
590,7
590,8
51,2
35,4
487,9
843,3
921,7
147,6
529,5
608,5
207,10
59,2
229,4
990,3
376,4
587,7
99,7
45,3
309,3
252,2
979,3
684,3
109,10
99,2
699,6
981,3
616,3
206,10
383,4
773,8
723,3
433,6
6,5
914,3
563,7
263,5
359,4
130,9
185,6
734,9
848,2
386,8
289,8
235,4
856,6
326,4
954,7
431,4
188,2
16,10
391,4
172,6
312,7
870,8
218,3
638,8
832,9
947,9
584,8
814,10
322,3
301,3
542,9
698,6
223,2
435,2
769,9
896,2
482,7
325,4
966,10
519,4
9,3
223,7
31,2
18,8
428,5
827,8
858,5
778,6
297,7
589,8
792,3
572,6
605,2
874,5
441,3
124,4
641,5
833,6
611,2
834,3
285,4
536,8
359,6
471,10
626,4
422,4
792,4
800,4
590,7
590,8
51,2
35,4
487,9
843,3
921,7
147,6
529,5
608,5
207,10
59,2
229,4
990,3
376,4
587,7
99,7
45,3
309,3
252,2
979,3
684,3
109,10
99,2
699,6
981,3
616,3
206,10
383,4
773,8
723,3
433,6
6,5
914,3
563,7
263,5
359,4
130,9
185,6
734,9
848,2
386,8
289,8
235,4
856,6
326,4
954,7
431,4
188,2
16,10
391,4
172,6
312,7
870,8
218,3
638,8
832,9
947,9
584,8
814,10
322,3
301,3
542,9
698,6
223,2
435,2
769,9
896,2
482,7
325,4
